,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
451,Radeon HD 6850,1937,984,9.19,$210.92 
452,Radeon HD 6870,2203,903,8.13,$271.22 
453,Radeon HD 6950,2595,804,18.54,$139.99 
454,Radeon HD 6970,2830,764,18.87,$149.99 
455,Radeon HD 6970M,2270,877,10.51,$215.99 
456,Radeon HD 6990,3118,730,6.26,$498.49 
457,Radeon HD 7340,153,2213,0.28,$552.69 
458,Radeon HD 7450,223,2120,4.47,$49.99 
459,Radeon HD 7470,289,2054,3.55,$81.37 
460,Radeon HD 7570,616,1690,6.02,$102.49 
461,Radeon HD 7650A,555,1775,2.12,$262.00 
462,Radeon HD 7670M,481,1867,0.76,$629.99 
463,Radeon HD 7730,1163,1274,5,$232.70 
464,Radeon HD 7750,1702,1065,8.87,$191.99 
465,Radeon HD 7770,2173,911,7.24,$300.00 
466,Radeon HD 7790,3090,735,22.07,$139.99 
467,Radeon HD 7850,3897,623,22.76,$171.24 
468,Radeon HD 7870,4564,564,25.93,$176.00 
469,Radeon HD 7950 / R9 280,4764,553,19.78,$240.83 
470,Radeon HD 7970 / R9 280X,5247,505,21.25,$246.99 
471,Radeon HD 7990,5565,475,13.91,$399.99 
472,Radeon HD 8350,162,2210,1.63,$99.81 
473,Radeon HD 8490,263,2084,2.93,$89.99 
474,Radeon HD 8570,942,1394,9.55,$98.68 
475,Radeon HD 8970M,3876,626,27.69,$139.99 
476,Radeon Pro,2365,847,5.52,$429.00 
477,Radeon Pro 455,3112,731,6.93,$449.00 
478,Radeon Pro 555,3140,726,2.99,"$1,049.00 "
479,Radeon Pro Duo,8298,347,2.09,"$3,970.36 "
480,Radeon Pro SSG,10971,276,4.55,"$2,410.15 "
481,Radeon Pro W5500,8933,330,21.79,$409.99 
482,Radeon Pro W5700,14144,183,21.76,$649.99 
483,Radeon PRO W6800,20239,87,10.94,"$1,849.99 "
484,Radeon Pro WX 3200,2222,895,11.67,$190.37 
485,Radeon Pro WX 4100,3684,653,7.37,$499.99 
486,Radeon Pro WX 4150,2555,810,4.19,$610.04 
487,Radeon Pro WX 5100,5464,489,15.18,$359.99 
488,Radeon Pro WX 7100,7711,370,7.36,"$1,047.99 "
489,Radeon Pro WX 8200,12614,230,7.89,"$1,599.39 "
490,Radeon R4,347,1997,0.88,$396.99 
491,Radeon R5 220,147,2226,1.73,$85.26 
492,Radeon R5 230,221,2123,2.74,$81.10 
493,Radeon R5 235,336,2009,5.59,$60.13 
494,Radeon R5 240,558,1767,6.58,$85.00 
495,Radeon R5 310,331,2015,0.66,$499.00 
496,Radeon R5 330,522,1818,1.54,$339.99 
497,Radeon R5 420,574,1749,14.39,$39.95 
498,Radeon R5 430,884,1429,15,$59.00 
499,Radeon R7 240,906,1411,10.73,$84.56 
500,Radeon R7 250,1054,1322,10.55,$99.99 
501,Radeon R7 250X,2268,879,11.7,$194.00 
502,Radeon R7 260,2891,756,32.13,$89.99 
503,Radeon R7 260X,3201,715,22.87,$139.99 
504,Radeon R7 360,3123,728,21.4,$145.99 
505,Radeon R7 430,1086,1303,7.22,$150.58 
506,Radeon R7 450,1881,1001,6.29,$299.00 
507,Radeon R7 A12-9700P RADEON,680,1614,1.56,$435.92 
508,Radeon R7 A12-9720P RADEON,733,1566,2.01,$365.48 
509,Radeon R7 A12-9800E RADEON,942,1393,6.77,$139.19 
510,Radeon R7 FX-9800P RADEON,752,1548,1.42,$530.00 
511,Radeon R7 M260,528,1810,0.66,$799.00 
512,Radeon R7 M445,947,1385,1.27,$744.00 
513,Radeon R7 PRO A10-9700E,920,1403,1.74,$529.00 
514,Radeon R9 255,1364,1196,3.97,$344.16 
515,Radeon R9 270 / R7 370,4259,599,19.98,$213.16 
516,Radeon R9 270X,4875,543,14.93,$326.50 
517,Radeon R9 285 / 380,5549,477,11.44,$485.00 
518,Radeon R9 290 / 390,8150,354,21.45,$380.00 
519,Radeon R9 290X / 390X,8380,344,26.19,$319.99 
520,Radeon R9 295X2,8777,336,17.59,$499.10 
521,Radeon R9 350,1997,959,6.68,$299.00 
522,Radeon R9 360,3031,742,22.64,$133.89 
523,Radeon R9 370,4722,559,29.51,$159.99 
524,Radeon R9 380,5985,449,66.51,$89.99 
525,Radeon R9 380X,6132,441,17.52,$349.99 
526,Radeon R9 Fury,9513,307,21.47,$443.10 
527,Radeon R9 Fury + Fury X,9741,300,21.65,$449.99 
528,Radeon R9 M275,1114,1289,1.59,$699.99 
529,Radeon R9 M295X,5150,515,3.55,"$1,449.00 "
530,Radeon R9 M370X,1570,1130,1.77,$889.00 
